True,Pred
1,0.9777744
0,0.18042089
0,0.022701042
0,0.1621512
1,0.9635745
1,0.85898685
1,0.71786505
1,0.88651806
1,0.9409131
0,0.53820163
0,0.035256896
0,0.024675269
1,0.9018076
1,0.99266773
1,0.32943925
1,0.9648283
0,0.02844647
0,0.056559138
0,0.06738123
1,0.70913684
0,0.069656365
1,0.9540296
1,0.91957504
0,0.022246059
1,0.61028355
0,0.20006281
0,0.4959506
0,0.059978936
0,0.023157375
0,0.028942851
0,0.1688222
1,0.9763889
1,0.88790524
1,0.96391165
0,0.029850489
0,0.04725187
0,0.11451224
1,0.71430486
0,0.046050485
1,0.97503316
0,0.07418672
1,0.6009864
0,0.15023147
0,0.066283464
0,0.3224342
0,0.22632144
1,0.09785009
0,0.01974171
1,0.92387533
1,0.5564426
1,0.87046313
1,0.93389946
1,0.9174702
0,0.042157955
0,0.14906937
0,0.07657731
1,0.9737012
0,0.7386181
1,0.46066418
0,0.06587998
1,0.95394015
1,0.9794047
1,0.9461682
1,0.89690137
1,0.9690759
1,0.7375302
0,0.48302487
1,0.98993194
0,0.10008206
1,0.8296538
0,0.53799736
1,0.9337584
0,0.19713336
0,0.123556174
0,0.109797165
0,0.56479764
0,0.11194175
0,0.04447036
0,0.09461378
1,0.77015275
1,0.9780603
1,0.967502
0,0.5417985
1,0.8312851
0,0.041715454
0,0.021877477
1,0.96967345
1,0.9705192
0,0.025203666
0,0.04957335
0,0.20923375
1,0.5860656
1,0.9474424
1,0.8688677
0,0.21410473
0,0.09366258
1,0.9799303
1,0.8333415
0,0.04478526
1,0.9769562
1,0.8876204
1,0.9167017
1,0.93659985
1,0.95762473
1,0.971465
0,0.42209697
1,0.87361383
1,0.9675029
1,0.97238296
0,0.076071724
0,0.1158975
0,0.009809428
0,0.045650676
0,0.07591353
0,0.20298035
1,0.88198465
1,0.95308846
1,0.9486075
1,0.9814828
1,0.96616834
1,0.6753658
1,0.8379848
0,0.10427812
0,0.07294972
0,0.42383027
1,0.5184459
1,0.8343397
1,0.97524816
1,0.9307239
0,0.037650052
1,0.90783894
1,0.9244467
0,0.11183811
0,0.57111704
1,0.94680446
1,0.9054369
1,0.65518016
0,0.19069591
1,0.9051637
1,0.98468626
0,0.11837832
0,0.096894726
0,0.25834578
0,0.033682726
0,0.043262575
0,0.17099811
1,0.7104891
1,0.90964687
0,0.0848098
1,0.97017753
0,0.1935681
0,0.047935594
1,0.92698705
1,0.8119516
0,0.71278
1,0.9174702
1,0.9561217
1,0.7353732
0,0.13777113
0,0.27529275
0,0.0763696
1,0.92441016
1,0.9802546
1,0.9115997
0,0.052463427
0,0.49891257
1,0.9432821
0,0.0346916
1,0.9538972
0,0.62965447
0,0.049506407
1,0.9639669
1,0.959367
0,0.010124666
0,0.18614006
0,0.12911358
0,0.121843286
1,0.89895344
1,0.64446807
0,0.3189616
1,0.92125106
1,0.96133995
1,0.8618644
1,0.50957125
1,0.94944054
1,0.90994465
1,0.36222354
1,0.569611
1,0.97935563
1,0.9252623
0,0.30874708
0,0.09025335
0,0.096953906
0,0.21362257
1,0.9666618
0,0.18476506
1,0.9623632
1,0.2890981
0,0.01604254
1,0.7826809
1,0.9070152
0,0.010368622
0,0.11185524
0,0.044386547
1,0.8815165
1,0.93753797
0,0.068600714
1,0.93095064
1,0.90715
1,0.48167017
1,0.63346064
0,0.066339396
1,0.9432695
1,0.41414133
0,0.14747019
0,0.104351036
1,0.9480831
0,0.04946588
1,0.96756804
1,0.8833368
1,0.91513544
1,0.9679011
0,0.046898514
1,0.9396845
1,0.94830453
1,0.9389921
1,0.91908354
1,0.6068469
0,0.13668069
0,0.25604743
0,0.026449721
0,0.034332696
0,0.10234033
1,0.9449901
0,0.1752781
0,0.031905204
0,0.115041435
1,0.62504196
0,0.05086924
1,0.96391165
1,0.9227781
0,0.06591507
0,0.081578895
1,0.8363074
0,0.11100477
1,0.9703818
0,0.06044612
1,0.9343279
1,0.973491
0,0.048966225
1,0.83867973
0,0.12995547
0,0.15655021
0,0.9735719
0,0.005758614
1,0.9742687
0,0.013766842
1,0.96318287
0,0.035960883
1,0.9621564
1,0.8055312
1,0.87018937
1,0.9241654
0,0.22709614
1,0.69760555
1,0.74753505
1,0.9376705
0,0.018283697
0,0.2529769
1,0.9645818
1,0.78223884
0,0.099082716
0,0.08749294
1,0.9274174
1,0.89476395
1,0.7948431
1,0.65706104
0,0.012950403
0,0.15134324
0,0.6932629
1,0.8525573
0,0.23060456
0,0.18291196
1,0.72145003
1,0.96607924
0,0.03013602
0,0.04641078
0,0.11209207
0,0.6790327
1,0.6808908
0,0.050239213
1,0.9017542
0,0.7856768
0,0.23670721
0,0.03434711
1,0.90999746
1,0.54710895
0,0.061777562
1,0.98270506
0,0.1295195
1,0.9026627
1,0.823463
1,0.8055312
0,0.03241478
0,0.072383285
1,0.6009864
0,0.12480639
1,0.9371695
0,0.080942705
1,0.98052615
0,0.05832133
1,0.96688586
1,0.58838475
0,0.030623687
0,0.37052464
1,0.89576095
0,0.071326755
1,0.9490678
0,0.04202898
0,0.039143484
0,0.073787495
1,0.78108275
0,0.042095628
0,0.33877504
1,0.8966059
0,0.08161998
1,0.978777
1,0.96806335
1,0.96285284
1,0.4987751
