True,Pred
1,0.9996670867529636
0,0.02525617040361953
0,0.0005680967083587618
0,0.025551363638813072
1,0.9993880364204043
1,0.9833914932870125
1,0.8765658588201423
1,0.9857625169842127
1,0.997183967825266
0,0.38280467518330824
0,0.001274279569256436
0,-0.00012413159490262215
1,0.987942774140206
1,0.9998887515873
1,0.1296684995279206
1,0.9998380637727684
0,0.0007284961978329813
0,0.0018782003778928446
0,0.0011920790236947124
1,0.9351631200770184
0,0.0013226691288537751
1,0.9988133059844674
1,0.9943270072942152
0,0.0002492573329285633
1,0.6202132421288964
0,0.0292667686223642
0,0.39064310434918936
0,0.001069645484007899
0,0.0009160734192442438
0,0.0001547135604008014
0,0.0907612729107596
1,0.9987802992408307
1,0.9925138149435712
1,0.999160343762679
0,0.0010447356388113187
0,0.001592524813731194
0,0.027160758134799713
1,0.9184679825019785
0,0.0006912756031251565
1,0.9996865906864097
0,0.001786881525687354
1,0.6383951229879552
0,0.0366736195838677
0,0.002258186030231208
0,0.5363570342767686
0,0.0991087916195143
1,0.0025250388421174767
0,6.359583525904818e-05
1,0.9935171171836891
1,0.801000714396042
1,0.9903297115229199
1,0.995308214099311
1,0.9936894394387049
0,0.003567616975828882
0,0.02642105975474034
0,0.004397340366449222
1,0.9994611851993833
0,0.8137697532880526
1,0.7780023820758049
0,6.607313395598675e-05
1,0.9984672632774649
1,0.999518319417503
1,0.9968125492480724
1,0.9927595152465414
1,0.9994583105336049
1,0.9226199330375605
0,0.30075349083367275
1,0.9998322569593865
0,0.0004551737378398653
1,0.9681616402417484
0,0.3878309089233796
1,0.9959808372373354
0,0.02931452651755194
0,0.0236986874068909
0,0.004577689624451391
0,0.592672569911461
0,0.00424038937449542
0,-7.281769397004265e-05
0,0.00010074021717611757
1,0.8849934544794755
1,0.9991523216084652
1,0.9984626621908083
0,0.7607090056479887
1,0.9669223869343992
0,0.00011812247887803577
0,-0.0002177049666209406
1,0.9997207208658158
1,0.9998006380467002
0,0.000996076412648544
0,0.0011241538459169729
0,0.024168076235359007
1,0.8167806635945662
1,0.9993795699715737
1,0.9738400610763496
0,0.026557087537804044
0,0.003743734557774014
1,0.9997220437308773
1,0.9836040505105194
0,0.0008119331339987454
1,0.9992111008162311
1,0.9725981814392455
1,0.9941105752973809
1,0.9972879383880396
1,0.9990958520161811
1,0.9994374777192125
0,0.2847253130565619
1,0.9891762839385588
1,0.9989813605100893
1,0.9996530730397293
0,0.00412248894098886
0,0.0910054371063525
0,-1.704066348680357e-05
0,0.0005663951785112227
0,0.0015801242253785566
0,0.03004809636743918
1,0.9917050012458916
1,0.9985950200272616
1,0.9990411327279304
1,0.9998502316968007
1,0.9995993882994725
1,0.9351200072780339
1,0.9857961643321289
0,0.0023371809201746876
0,0.004676656482800023
0,0.3657730043220814
1,0.8782680370236359
1,0.9930430307410345
1,0.9995134755699695
1,0.9987212873436982
0,0.0004425631039097816
1,0.9911327741472447
1,0.997426034779082
0,0.021287281498619737
0,0.4887249735155612
1,0.997670737423304
1,0.9959957332259173
1,0.7406652946143993
0,0.00855423187860865
1,0.9912856917492742
1,0.9999304088429602
0,0.023841673322426035
0,0.007315687636871321
0,0.03673216064395919
0,0.00013027628512747298
0,0.00025607560007756503
0,0.015745935641319174
1,0.5477651553232297
1,0.9947091296605863
0,0.0046296693781753984
1,0.9996356183017848
0,0.02155970642117752
0,5.792202749568256e-05
1,0.9968867167603317
